"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4115","@smoke My First Test Case","My First Test Suite","Sat Nov 29 22:28:34 UTC 2025","passed","Sat Nov 29 22:28:38 UTC 2025","","","",""
"","1800","should handle alert and confirm dialogs","Automation Practice Test Suite","Sat Nov 29 22:28:57 UTC 2025","passed","Sat Nov 29 22:28:59 UTC 2025","","","",""
"","11288","Ecommerce product delivery","End to End Ecommerce Application Validation","Sat Nov 29 22:29:55 UTC 2025","passed","Sat Nov 29 22:30:06 UTC 2025","","","",""
"","1500","should select option from static dropdown","Automation Practice Test Suite","Sat Nov 29 22:28:50 UTC 2025","passed","Sat Nov 29 22:28:52 UTC 2025","","","",""
"","1763","Modify API response and sending my own response on UI","API Validation","Sat Nov 29 22:28:23 UTC 2025","passed","Sat Nov 29 22:28:25 UTC 2025","","","",""
"","11342","User selects and purchases specific products","Ecommerce Product Selection Validation","Sat Nov 29 22:30:16 UTC 2025","passed","Sat Nov 29 22:30:27 UTC 2025","","","",""
"","4309","Verify cart total calculation","End to End Ecommerce Application Validation","Sat Nov 29 22:30:06 UTC 2025","passed","Sat Nov 29 22:30:11 UTC 2025","","","",""
"","4319","Verify multiple product selection","Ecommerce Product Selection Validation","Sat Nov 29 22:30:27 UTC 2025","passed","Sat Nov 29 22:30:32 UTC 2025","","","",""
"","708","My Third Test Case","My First Test Suite","Sat Nov 29 22:28:39 UTC 2025","passed","Sat Nov 29 22:28:39 UTC 2025","","","",""
"","1698","@smoke My Sixth Test Case","My First Test Suite","Sat Nov 29 22:28:41 UTC 2025","passed","Sat Nov 29 22:28:42 UTC 2025","","","",""
"","3937","@smoke should handle date picker","Automation Practice Test Suite","Sat Nov 29 22:29:25 UTC 2025","passed","Sat Nov 29 22:29:29 UTC 2025","","","",""
"","11812","Validate e-commerce page e2e flow","End to End E-commerce Flow Test Suite","Sat Nov 29 22:29:37 UTC 2025","passed","Sat Nov 29 22:29:49 UTC 2025","","","",""
"","700","My Fourth Test Case","My First Test Suite","Sat Nov 29 22:28:39 UTC 2025","passed","Sat Nov 29 22:28:40 UTC 2025","","","",""
"","356","My Fifth Test Case","My First Test Suite","Sat Nov 29 22:28:40 UTC 2025","passed","Sat Nov 29 22:28:41 UTC 2025","","","",""
"","879","Simulate API timeout (404)","API Validation","Sat Nov 29 22:28:26 UTC 2025","passed","Sat Nov 29 22:28:27 UTC 2025","","","",""
"","1592","@smoke should handle iFrames","Automation Practice Test Suite","Sat Nov 29 22:29:23 UTC 2025","passed","Sat Nov 29 22:29:25 UTC 2025","","","",""
"","12","should successfully login and complete e-commerce flow","Login API Tests","Sat Nov 29 22:29:32 UTC 2025","skipped","Sat Nov 29 22:29:32 UTC 2025","","","",""
"","3643","should check and uncheck checkboxes","Automation Practice Test Suite","Sat Nov 29 22:28:47 UTC 2025","passed","Sat Nov 29 22:28:50 UTC 2025","","","",""
"","1505","should select radio buttons","Automation Practice Test Suite","Sat Nov 29 22:28:55 UTC 2025","passed","Sat Nov 29 22:28:57 UTC 2025","","","",""
"","415","Simulate API network failure","API Validation","Sat Nov 29 22:28:25 UTC 2025","passed","Sat Nov 29 22:28:26 UTC 2025","","","",""
"","1946","should select country from dynamic dropdown","Automation Practice Test Suite","Sat Nov 29 22:28:52 UTC 2025","passed","Sat Nov 29 22:28:54 UTC 2025","","","",""
"","1529","should show and hide textbox","Automation Practice Test Suite","Sat Nov 29 22:28:54 UTC 2025","passed","Sat Nov 29 22:28:55 UTC 2025","","","",""
"","1466","should handle Mouse hover","Automation Practice Test Suite","Sat Nov 29 22:29:14 UTC 2025","passed","Sat Nov 29 22:29:15 UTC 2025","","","",""
"","8061","should handle Switch Window","Automation Practice Test Suite","Sat Nov 29 22:29:15 UTC 2025","passed","Sat Nov 29 22:29:23 UTC 2025","","","",""
"","10","should successfully create a new resource","POST API Validation","Sat Nov 29 22:28:29 UTC 2025","skipped","Sat Nov 29 22:28:29 UTC 2025","","","",""
"","691","My Second Test Case","My First Test Suite","Sat Nov 29 22:28:38 UTC 2025","passed","Sat Nov 29 22:28:39 UTC 2025","","","",""
"","14","Modify request URL and continue with modified URL","API Validation","Sat Nov 29 22:28:27 UTC 2025","skipped","Sat Nov 29 22:28:27 UTC 2025","","","",""
"","442","Simulate API server error (500)","API Validation","Sat Nov 29 22:28:25 UTC 2025","passed","Sat Nov 29 22:28:25 UTC 2025","","","",""
"","13670","should handle switch tab or child windows","Automation Practice Test Suite","Sat Nov 29 22:28:59 UTC 2025","passed","Sat Nov 29 22:29:12 UTC 2025","","","",""
"","1444","should handle web tables","Automation Practice Test Suite","Sat Nov 29 22:29:12 UTC 2025","passed","Sat Nov 29 22:29:14 UTC 2025","","","",""
