"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11185","User selects and purchases specific products","Ecommerce Product Selection Validation","Sun Nov 30 01:37:57 UTC 2025","passed","Sun Nov 30 01:38:08 UTC 2025","","","",""
"","1476","@smoke should handle iFrames","Automation Practice Test Suite","Sun Nov 30 01:37:03 UTC 2025","passed","Sun Nov 30 01:37:04 UTC 2025","","","",""
"","1","should validate data types and formats","User Login with Database Validation","Sun Nov 30 01:35:53 UTC 2025","skipped","Sun Nov 30 01:35:53 UTC 2025","","","",""
"","4154","@smoke should handle date picker","Automation Practice Test Suite","Sun Nov 30 01:37:04 UTC 2025","passed","Sun Nov 30 01:37:08 UTC 2025","","","",""
"","2","should get employee by department and validate salary","User Login with Database Validation","Sun Nov 30 01:35:53 UTC 2025","skipped","Sun Nov 30 01:35:53 UTC 2025","","","",""
"","1","should insert a new employee and verify","Employees Database Tests - Azure SQL","Sun Nov 30 01:35:59 UTC 2025","skipped","Sun Nov 30 01:35:59 UTC 2025","","","",""
"","0","should update employee salary","Employees Database Tests - Azure SQL","Sun Nov 30 01:35:59 UTC 2025","skipped","Sun Nov 30 01:35:59 UTC 2025","","","",""
"","1806","should select country from dynamic dropdown","Automation Practice Test Suite","Sun Nov 30 01:36:33 UTC 2025","passed","Sun Nov 30 01:36:35 UTC 2025","","","",""
"","1372","should handle Mouse hover","Automation Practice Test Suite","Sun Nov 30 01:36:53 UTC 2025","passed","Sun Nov 30 01:36:55 UTC 2025","","","",""
"","6053","Verify cart total calculation","End to End Ecommerce Application Validation","Sun Nov 30 01:37:46 UTC 2025","passed","Sun Nov 30 01:37:52 UTC 2025","","","",""
"","1853","@smoke My Sixth Test Case","My First Test Suite","Sun Nov 30 01:36:21 UTC 2025","passed","Sun Nov 30 01:36:23 UTC 2025","","","",""
"","1","should verify Saurav Kumar employee record","Employees Database Tests - Azure SQL","Sun Nov 30 01:35:59 UTC 2025","skipped","Sun Nov 30 01:35:59 UTC 2025","","","",""
"","7979","should handle Switch Window","Automation Practice Test Suite","Sun Nov 30 01:36:55 UTC 2025","passed","Sun Nov 30 01:37:03 UTC 2025","","","",""
"","0","should connect to PracticeDBSetup database","Employees Database Tests - Azure SQL","Sun Nov 30 01:35:59 UTC 2025","skipped","Sun Nov 30 01:35:59 UTC 2025","","","",""
"","3601","should check and uncheck checkboxes","Automation Practice Test Suite","Sun Nov 30 01:36:28 UTC 2025","passed","Sun Nov 30 01:36:32 UTC 2025","","","",""
"","1","should group employees by department","User Login with Database Validation","Sun Nov 30 01:35:53 UTC 2025","skipped","Sun Nov 30 01:35:53 UTC 2025","","","",""
